국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
무늬산호수,Ardisia japonica 'Hakuokan',Marlberry,"자금우는 한국이 원산지로 중국, 일본, 타이완에 분포한다. 꽃은 양성화로 7~8월에 줄기 끝에 잎겨드랑이에서 피며, 10~12월에 탐스런 붉은 열매가 달려서 겨울철 실내정원과 크리스마스 시즌에 포인트로 많이 장식한다. 자금우는 잎에 무늬가 있는 품종들도 함께 분화로 많이 사 용하며, 정원에서 지피식물로 사용할 수 있다. 자금우'하쿠 오칸'(Ardisia japonica 'Hakuokan')은 잎 전체가 녹색이고, 잎 가장자리는 크림색인 무늬종으로 '무늬산호수'로 유통된 다. 자금우'호우칸'은 잎 전체가 연한 녹색에 가장자리는 진 한 녹색인 무늬종으로 시장에서는 '황금산호수'로 불린다.","잎에 자주 분무하고, 토양표면이 말랐을 때 물을 충분히 준다.","고온건조, 직사광선을 피하고 온도와 습도관리에 유의한다.",자금우과,15~25℃ (최저 5℃),"반양지, 반음지","보통, 잎에 자주 분무","음이온 발생, 상대습도 증가, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,,"음이온을 배출하여 전자파를 잡아주고 집중력 향상에 도움을 주기 때문에 서재, 공부방에 놓아 활용한다.",,
황금산호수,Ardisia japonica 'Houkan',Marlberry,"자금우는 한국이 원산지로 중국, 일본, 타이완에 분포한다. 꽃은 양성화로 7~8월에 줄기 끝에 잎겨드랑이에서 피며, 10~12월에 탐스런 붉은 열매가 달려서 겨울철 실내정원과 크리스마스 시즌에 포인트로 많이 장식한다. 자금우는 잎에 무늬가 있는 품종들도 함께 분화로 많이 사 용하며, 정원에서 지피식물로 사용할 수 있다. 자금우'하쿠 오칸'(Ardisia japonica 'Hakuokan')은 잎 전체가 녹색이고, 잎 가장자리는 크림색인 무늬종으로 '무늬산호수'로 유통된 다. 자금우'호우칸'은 잎 전체가 연한 녹색에 가장자리는 진 한 녹색인 무늬종으로 시장에서는 '황금산호수'로 불린다.","잎에 자주 분무하고, 토양표면이 말랐을 때 물을 충분히 준다.","고온건조, 직사광선을 피하고 온도와 습도관리에 유의한다.",자금우과,15~25℃ (최저 5℃),"반양지, 반음지","보통, 잎에 자주 분무","음이온 발생, 상대습도 증가, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,,"음이온을 배출하여 전자파를 잡아주고 집중력 향상에 도움을 주기 때문에 서재, 공부방에 놓아 활용한다.",,
산호수,Ardisia pusilla,Tiny Ardisia,"제주도에 자생하는 산호수는 키가 20cm를 넘지 않는 덩굴 성으로 추위에 약해서 외부에서 월동이 되지 않는다. 반그늘 진 곳을 좋아하며, 어느 정도 습기유지가 중요하다. 잎에 광 택이 있어 고급스럽지만 독성이 있어 함부로 섭취하면 위험 하니 주의한다.",봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 겨울에 는 물주는 횟수를 줄인다,직사광선을 피하고 잎이 타지 않도록 주의한다. 가지치기를 하여 다른 식물을 감싸는 가지를 제거한다. 가지치기를 하지 않으면 안쪽 가지가 무르거나 상할 수 있다.,자금우과,10~26℃ (최저 0℃),반음지,보통,"일산화탄소제거, 음이온 발생, 상대습도 증가, 미세먼지 제거","응애, 깍지벌레, 온실가루이",하,,산호수를 공부방에 두면 음이온과 습도의 발생량이 우수하여 집중력 향상과 습도 조절에 도움을 준다.,,구별 Tip이 있음.
꽃베고니아,Begonia semperflorens,Wax Begonia,"'언제나 꽃이 피는 베고니아'라는 의미의 Begonia semperflorens는 '사철베고니아'라는 이 름으로도 불린다. 꽃 색상은 흰색, 분홍색, 노란색, 주황색 등 다양하고 생육상태가 좋으면 일 년 내내 꽃을 볼 수 있다. 꽃이 피는 식물로 가능한 햇빛을 많이 보는 것이 좋다. 배수가 잘되고 부식질이 많이 포함된 배합토를 사용한다.","봄~여름에는 토양을 촉촉하게 유지하고, 가을에는 토양 표면이 말랐을 때 충분히 물을 주며, 겨울에는 화분흙이 대부분 말랐을 때는 충분히 물을 준다. 일반적으로 다육성이라 물을 많이 주지 않아도 좋다.","시든 잎과 꽃잎은 자주 따 주며 관리한다. 잎의 색이 희미해지면 가능한 햇빛이 덜 드는 곳 으로 옮겨주고, 잎 끝이 갈색으로 변하면 공기가 너무 건조하다는 것이다. 생장속도가 빨 라 식물이 지나치게 무성해지면 통풍이 되지 않아 흰가루병이 발병할 수 있으니 주의한다.",베고니아과,16~24℃ (최저 13℃),양지~반양지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 증산작용","응애, 깍지벌레",중,,녹색 잎을 가진 관엽식물들과 함께 키우면 꽃베고니아의 화려한 색을 디자인으로 활용할 수 있다.,"▶ 곰팡이 균(Botrytis)으로 병든 부분을 자르고 다른 식물과 분리시킨 후 살균제를 분무. 낮은 광도, 과습 상태를 피하 고 환기를 개선해야함 ▶ 잎이 노랗게 되는 원인 : 1) 빛이 너무 적을 경우 2) 물을 너무 많이 주거나 너무 적게 줄 경우 ▶ 잎이 떨어질 때 : 여러 가지 원인이 있을 수 있으므로 다른 증상을 반드시 찾아야 함 1) 줄기가 가늘어 진다면 빛이 충분하지 않은 경우임 2) 잎이 말리고 마른다면 너무 온도가 높은 경우임 3) 잎이 시들고 썩었다면 물을 너무 많이 준 경우임 ▶ 잎 끝이 갈변화 : 공중습도가 너무 낮은 경우 ▶ 잎 색이 연해지고 썩어가고 있을 때 : 과습이 원인일 수 있으므로, 물 주는 양을 조절해야 함 ▶ 잎에 흰색 가루가 반점처럼 있을 때 : 다른 베고니아로부터 분리하여 병든 잎을 잘라내고 살균제를 분무할 것. 지나치게 습하거 나 낮은 온도를 피하고 자주 환기를 해야 함 ▶ 꽃봉오리가 떨어질 때 : 대기 중 공기가 너무 건조하거나 토양이 과습할 경우 ▶ 식물체가 무너질 때 : 몇 가지 문제가 있을 수 있음 1) 과습으로 인한 줄기썩음병 2) 뿌리혹선충 (root knot eelworm) – 뿌리에 부풀어 오른 혹을 찾아봐야 함 3) 바구미류(vine weevil) – 괴경에 벌레로 인하여 터널이 있는지 찾아봐야 함",
얼룩애크메아,Aechmea fasciata,"Vase plant, Urn Plant, Silver Vase plant","얼룩애크메아는 외관이 화려하고 독특하여 시선을 끄는 이 국적인 식물이다. 꽃은 일생에 한번 피는데, 분홍색 포엽이 화려하고, 관상기간이 길다. 로제트형태의 잎은 단단하고 거 친 느낌이며, 은색과 진한 녹색의 줄무늬가 있고 가장자리 에 가시가 있다. 잎들이 로제트형태로 있는 것을 위에서 보 면 물을 담아두는 항아리처럼 보여 영어이름이 'Urn Plant (항아리 식물)'이다. 원래 착생식물로 나뭇가지나 바위 위에 붙어 자란다. 나뭇 가지에 식물체를 붙인 후 수태로 감싸서 철사나 낚시줄로 고정하여 키울 수도 있고, 일반 화분에 심어서 토양에도 키 울 수 있다.",토양표면이 말랐을 때 충분히 물을 준다. 브로맬리아류(Bromeliads)는 식물체 중간에 물이 담겨있어야 꽃이 피는 특징 이 있다.,직사광선 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,파인애플과,12~21℃ (최저 13℃),반양지,보통,공기정화,"응애, 깍지벌레",중,,"파인애플과 식물은 난초과 식물, 다육식물 등과 마찬가지로 밤에 이산화탄소를 흡수하므로 햇빛 이 잘 드는 거실에 두면 좋다.",,
틸란드시아 키아네아,Tillandsia cyanea,"Blue~flowered torch, Pink quill","틸란드시아 키아네아는 에어플랜트(air plant)라 하여 토양 없이 바위나 나무에 붙어 공중에서 수분과 양분을 흡수하 며 자란다. 보통 우리가 아는 틸란드시아 우스네오이데스 (Tillandsia usneoides, 수염틸란드시아) 등과 같이 공중에 걸어서 장식한다. 틸란드시아 키아네아는 폭 1cm, 길이가 30cm인 진한 녹색 의 잎과 그 사이에 올라오는 분홍색 꽃대, 분홍색 포엽사이 로 보라색의 꽃이 핀다. 화려한 분홍색 꽃대는 1개월 이상 유 지되나 보라색 꽃은 오래가지 않는다.",흙에 직접 물을 주는 것보다 잎과 잎 사이의 틈에 고이게 한다.,"반음지에서 잘 자라지만 개화기에는 빛을 많이 받아야 오래 유지되고, 꽃이 잘 핀다.",파인애플과,7~15℃ (최저 3℃),반음지,높은편,포름알데히드·자일렌 제거,"진딧물, 깍지벌레",중,,포름알데히드 및 자일렌 등 새집증후군 원인물 질 제거효과가 탁월하여 거실에 배치하면 좋다.,브로멜리아류(Bromeliads) 문제 발생시 ▶ 옅은 갈색의 반점이 있는 잎이 보일 때: 빛이 너무 과한 경우로 직사광선을 피하고 식 물을 그늘에 둠 ▶ 잎 끝이 갈색으로 변할 때: 공중습도가 너무 건조한 경우. 여름에 자주 분무 ▶ 식물이 죽을 때: 아직 개화 전 식물에 물을 많이 주면 개화 후 식물이 썩고 꽃자루를 품고 죽음,
게발선인장,Zygocactus truncatus,Christmas Cactus,"게발선인장과 가재발선인장은 화려한 꽃을 피우는 매력적 인 실내식물이다. 영명이 크리스마스 선인장과 부활절 선 인장으로 종류가 다르다. 게발선인장(크리스마스 선인장, Christmas Cactus)은 11월 중순부터 1월 말 크리스마스 즈음 에 꽃이 피고, 가재발선인장(부활절 선인장, Easter Cactus) 은 4월이나 5월 부활절 즈음에 꽃이 핀다. 두 식물의 모습은 매우 닮았는데, 게발선인장 잎의 가장자리가 결각이 더 많 고, 가지가 더 늘어진 것을 볼 수 있다. 잎꽂이로 번식한다.",토양의 표면이 약간 마르면 촉촉할 정도로 물은 준다. 분무를 자주 해준다.,"꽃이 피고 난 후에는 시원한 방으로 이동했다가 생육기에 온도, 물, 비료를 점점 증가해서 공 급한다. 용토는 배수가 잘 되도록 마사토를 40%이상 섞고, 매년 분갈이한다.",선인장과,12~27℃ (최저 5℃),반양지,보통,"공기정화, 이산화탄소 흡수","응애, 깍지벌레",중,,잎이 밖으로 늘어져 자라기 때문에 작고 가벼운 화분보다 높이가 있고 묵직한 화분을 추천 한다. 밤에 이산화탄소를 흡수하므로 침실에 놓으면 좋다.,,
가제발선인장,Rhipsalidopsis gaertneri,Easter Cactus,"게발선인장과 가재발선인장은 화려한 꽃을 피우는 매력적 인 실내식물이다. 영명이 크리스마스 선인장과 부활절 선 인장으로 종류가 다르다. 게발선인장(크리스마스 선인장, Christmas Cactus)은 11월 중순부터 1월 말 크리스마스 즈음 에 꽃이 피고, 가재발선인장(부활절 선인장, Easter Cactus) 은 4월이나 5월 부활절 즈음에 꽃이 핀다. 두 식물의 모습은 매우 닮았는데, 게발선인장 잎의 가장자리가 결각이 더 많 고, 가지가 더 늘어진 것을 볼 수 있다. 잎꽂이로 번식한다.",토양의 표면이 약간 마르면 촉촉할 정도로 물은 준다. 분무를 자주 해준다.,"꽃이 피고 난 후에는 시원한 방으로 이동했다가 생육기에 온도, 물, 비료를 점점 증가해서 공 급한다. 용토는 배수가 잘 되도록 마사토를 40%이상 섞고, 매년 분갈이한다.",선인장과,12~27℃ (최저 5℃),반양지,보통,"공기정화, 이산화탄소 흡수","응애, 깍지벌레",중,,잎이 밖으로 늘어져 자라기 때문에 작고 가벼운 화분보다 높이가 있고 묵직한 화분을 추천 한다. 밤에 이산화탄소를 흡수하므로 침실에 놓으면 좋다.,,
줄무늬접란(나비란),Chlorophytum comosum 'Vittatum',Spider Plant,"실내 적응력이 매우 뛰어나 햇빛이나 그늘, 건조 등 대부분 의 환경에서 잘 견디는 편으로 기르기 쉽다. 단, 잎의 크림색 무늬를 유지하려면 밝은 빛이 필요하다. 녹색 바탕에 크림색 줄무늬가 있는 15~30cm 정도의 긴 잎들 이 아치 형태로 늘어진다. 가늘고 길게 자라는 줄기 끝에서 작은 하얀 꽃이 피고, 지고 난 후에는 공중에 떠 있는 형태로 어린 식물이 나온다. 이 어린 식물은 그냥 두어도 되고, 모체 로부터 분리하여 번식시킬 수도 있다. 토양과 수경재배 모두 잘 자란다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 분무하는 등 습도유지가 중요하다. 너무 건 조하면 해충이 발생할 수 있다.,백합과,13~24℃ (최저 10℃),반양지~반음지,보통,"공기정화, 포름알데히드 · 일산화탄소 제거, 휘발성 화학물질 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,,"덩굴성으로 베란다에서 벽과 천장을 타고 올라가도록 키울 수 있다. 걸이화분으로 장식하면 좋고, 위치를 주기적으로 회전시켜야 형태가 예쁘게 자란다. 포름알데히드와 일산화탄소 제거효과가 좋아 거실이나 주방에 배치하면 좋다.","문제 발생시 ▶ 잎 끝이 갈변할 때 : 1) 물이 부족할 경우 2) 온도가 높은 경우로 손상된 잎 끝을 자름 ▶ 겨울에 잎 색이 옅어지고 힘이 없을 때. 일부 노란색잎이 떨어지는 원인 : 온도가 높고 빛 적을 경우 ▶ 겨울철 잎에 갈색 줄무늬가 생길 때 : 휴면기에 낮은 온도에서 물을 많이 주었을 경우. 겨울철에는 물을 적게 줌 ▶ 잎에 갈색 반점이 생기고 가장자리로 말릴 때. 잎의 일부가 노랗게 되거나 잎이 떨어질 때 : 뿌리 주위의 흙이 말라 건조할 경우. 접란은 왕성하게 자랄 때 물을 충분하게 줘야 함 ▶ 줄기가 나오지 않을 때 : 1) 접란이 너무 어릴 때. 식물이 성숙하기 전에는 줄기가 형성되지 않음 2) 성숙한 접란에 줄기가 없다면, 성장할 공간이 부족할 경우이다. 밀식을 피해야 함",
국화,Chrysanthemum morifolium,Pot Chrysanthemum,대표적 단일식물로 다양한 색상의 꽃이 피는 국화는 개화시기를 조정할 수 있어 가을뿐 아니라 일 년 내내 볼 수 있다. 서늘하고 빛이 충분한 장소에 두면 6~8주간 꽃을 볼 수 있고 꽃이 피는 기간에는 실내에 두고 즐기면 좋다. 공기오염물질 을 제거하는 능력과 실내습도 조절능력도 좋다.,생육기 동안에는 뿌리가 약간 축축할 정도로 충분히 물을 준다.,너무 덥거나 건조하면 충해가 발생할 수 있다.,국화과,16~18℃ (최저 ℃),양지~반양지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 진딧물",중,,"꽃 색상이 다양해 밝고 화사한 분위기 연출이 가능하여 사무실, 쇼핑몰 등 상업시설에서 사용하면 좋다.",▶ 잎이 시들 때 : 1) 과습일 경우 2) 아주 잠시라도 건조함에 노출될 때도 잎이 시들고 식물체의 아랫 잎들이 떨어짐 ▶ 꽃눈이 피기 전에 떨어질 때 : 1) 꽃눈이 꽃 색을 띠지 않고 모두 녹색인 것을 구입했을 경우 2) 식물을 충분히 빛을 받을 수 있는 곳에 두지 않았을 경우 ▶ 개화기가 짧을 때 : 너무 따뜻한 곳에 있을 때로 국화가 21~24℃ 의 온도에서는 빨리 꽃이 피고 빨리 시듦,
